subject_name,bout_phase,mean_DA,n_frames
p1,Short_Term-1,0.30820595018462776,6015
p1,Short_Term-2,-0.259207048300834,3012
p1,Novel-1,-0.14141267769441168,3030
p1,Long_Term-1,0.11415842055589683,3134
p2,Short_Term-1,-0.0032215146462187196,6041
p2,Short_Term-2,0.3425387661158839,3019
p2,Novel-1,-0.22956812144604893,3015
p2,Long_Term-1,0.09082659500476695,3019
p3,Short_Term-1,-0.3389431287067565,6005
p3,Short_Term-2,0.6871152219269552,3205
p3,Novel-1,-0.4184424994171726,2923
p3,Long_Term-1,0.2619067988501419,3013
p5,Short_Term-1,-0.04508125089499844,6022
p5,Short_Term-2,-0.9299507469630323,3025
p5,Novel-1,0.7038288044817546,3016
p5,Long_Term-1,0.45357320826107334,3036
p6,Short_Term-1,-0.38381965152987085,6009
p6,Short_Term-2,0.4973933764707319,3011
p6,Novel-1,0.07365149619190957,3100
p6,Long_Term-1,-0.2966029761899466,3020
p7,Short_Term-1,0.3455593338020706,6018
p7,Short_Term-2,0.2319318251638201,3024
p7,Novel-1,0.5245270254871021,3024
p7,Long_Term-1,-1.1387423693086793,3017
p8,Short_Term-1,0.27181221201437133,6016
p8,Short_Term-2,-0.9922741139381146,3078
p8,Novel-1,0.027623010777837912,3020
p8,Long_Term-1,0.4692174386451377,3014
pp1,Short_Term-1,-0.071976108349764,6017
pp1,Short_Term-2,-0.5591422934954895,3027
pp1,Novel-1,0.5427760574824538,3027
pp1,Long_Term-1,-0.34014351160684203,3017
pp2,Short_Term-1,0.4060978122787409,6024
pp2,Short_Term-2,0.2577247825147066,3029
pp2,Novel-1,-0.3065312761022134,3029
pp2,Long_Term-1,-0.4012001292156375,3034
pp3,Short_Term-1,0.0493434062161504,6021
pp3,Short_Term-2,-0.6207974548470857,3026
pp3,Novel-1,-0.35219536672130136,3023
pp3,Long_Term-1,0.1338021807545467,3029
pp4,Short_Term-1,0.19686809864509444,6034
pp4,Short_Term-2,-0.06202376096635212,3042
pp4,Novel-1,-0.6737270761859279,3024
pp4,Long_Term-1,0.25435332178520603,3029
pp6,Short_Term-1,0.15443077150458978,6014
pp6,Short_Term-2,-0.6960309623523132,3076
pp6,Novel-1,0.4836131237515162,3027
pp6,Long_Term-1,-0.11159773873943533,3032
pp7,Short_Term-1,0.07835302681270362,6019
pp7,Short_Term-2,-0.363432588911554,3029
pp7,Novel-1,-0.09278235307677042,3032
pp8,Short_Term-1,0.41075613792421917,6019
pp8,Short_Term-2,0.33727906070700714,3042
pp8,Novel-1,-0.9365713979339795,3027
pp8,Long_Term-1,-0.029559900237865103,3024
